name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Rajadhani - Basavanagudi,Yes,No,3.4/5,1397,Hebbal,Café,South Indian,350,Café,Hebbal
Dindigul Thalappakatti - MG Road,No,No,3.7/5,1965,Bellandur,Pub,Cafe Food,250,Pub,Bellandur
MTR - Rajajinagar,Yes,No,4.2/5,4156,Jayanagar,Mess,Street Food,50,Mess,Jayanagar
Meghana Foods - Sarjapur Road,Yes,No,2.3/5,3241,KR Puram,Food Court,South Indian,500,Food Court,KR Puram
KFC - Jayanagar,Yes,No,3.6/5,1530,Marathahalli,Beverage Shop,North Indian,350,Beverage Shop,Marathahalli
Nandhini Hotel - Rajajinagar,Yes,No,NEW,0,BTM,Café,Kerala,300,Café,BTM
The Only Place - Banashankari,No,Yes,NEW,0,Shivajinagar,Sweet Shop,Pizza,150,Sweet Shop,Shivajinagar
Baskin-Robbins - Banashankari,Yes,Yes,4.6/5,115,Malleshwaram,Lounge,Rolls,700,Lounge,Malleshwaram
Social - Electronic City,Yes,No,3.3/5,1349,MG Road,Quick Bites,Mughlai,100,Quick Bites,MG Road
Pizza Hut - Electronic City,Yes,Yes,NEW,0,Hebbal,Pub,Gujarati,550,Pub,Hebbal
Shivaji Military Hotel - Banashankari,Yes,No,2.9/5,3243,Indiranagar,Sweet Shop,Mughlai,350,Sweet Shop,Indiranagar
New Krishna Bhavan - Electronic City,No,No,4.5/5,2847,Shivajinagar,Bar,Biryani,650,Bar,Shivajinagar
Burger King - HSR Layout,No,Yes,3.6/5,626,Indiranagar,Desserts,Street Food,100,Desserts,Indiranagar
Dindigul Thalappakatti - Rajajinagar,No,No,3.5/5,4618,Malleshwaram,Casual Dining,Gujarati,450,Casual Dining,Malleshwaram
Rajadhani - Marathahalli,Yes,No,3.8/5,1639,Bellandur,Mess,North Indian,50,Mess,Bellandur
Baskin-Robbins - Basavanagudi,Yes,No,4.2/5,2222,Shivajinagar,Dhaba,Pizza,50,Dhaba,Shivajinagar
Vasudev Adiga's - Hebbal,No,No,3.9/5,2945,KR Puram,Sweet Shop,Pizza,250,Sweet Shop,KR Puram
Burger King - BTM,Yes,No,5.0/5,2421,Bellandur,Mess,Biryani,50,Mess,Bellandur
Vasudev Adiga's - Electronic City,No,No,3.9/5,4727,Hebbal,Bakery,South Indian,400,Bakery,Hebbal
Hotel Suprabhatha - Rajajinagar,No,No,3.5/5,236,KR Puram,Fine Dining,Gujarati,500,Fine Dining,KR Puram
Wow Momo - Shivajinagar,No,No,3.4/5,3057,HSR Layout,Food Court,Beverages,400,Food Court,HSR Layout
Punjabi Dhaba - Malleshwaram,Yes,Yes,3.7/5,967,Shivajinagar,Quick Bites,Continental,350,Quick Bites,Shivajinagar
Starbucks - Malleshwaram,Yes,Yes,3.1/5,4538,Basavanagudi,Beverage Shop,Italian,150,Beverage Shop,Basavanagudi
Hotel Suprabhatha - Sarjapur Road,No,No,3.7/5,2831,Rajajinagar,Pub,North Indian,600,Pub,Rajajinagar
Blue Tokai - Marathahalli,Yes,No,4.2/5,3927,Sarjapur Road,Fine Dining,Mughlai,600,Fine Dining,Sarjapur Road
Toit - Electronic City,Yes,No,3.5/5,1019,Bellandur,Food Court,Fast Food,250,Food Court,Bellandur
Pizza Hut - Shivajinagar,Yes,No,3.4/5,2006,HSR Layout,Delivery,Beverages,100,Delivery,HSR Layout
Chutney's - Indiranagar,No,No,4.5/5,2893,HSR Layout,Quick Bites,Rajasthani,250,Quick Bites,HSR Layout
Corner House - Electronic City,No,No,3.0/5,1562,Banashankari,Café,South Indian,350,Café,Banashankari
Vidyarthi Bhavan - Jayanagar,Yes,No,2.8/5,841,Sarjapur Road,Sweet Shop,Street Food,200,Sweet Shop,Sarjapur Road
Smoke House Deli - BTM,Yes,Yes,3.3/5,4730,Basavanagudi,Food Court,Beverages,300,Food Court,Basavanagudi
MTR - JP Nagar,Yes,No,3.1/5,2203,Jayanagar,Quick Bites,North Indian,150,Quick Bites,Jayanagar
Blue Tokai - Shivajinagar,No,No,3.9/5,812,Bellandur,Lounge,Chinese,450,Lounge,Bellandur
The Only Place - Malleshwaram,Yes,No,NEW,0,Koramangala,Casual Dining,Italian,200,Casual Dining,Koramangala
Shivaji Military Hotel - Basavanagudi,Yes,No,3.7/5,3761,KR Puram,Quick Bites,Fast Food,150,Quick Bites,KR Puram
Dindigul Thalappakatti - Hebbal,No,No,4.3/5,3197,Banashankari,Sweet Shop,Pizza,150,Sweet Shop,Banashankari
Domino's Pizza - Hebbal,No,No,3.4/5,1709,Sarjapur Road,Desserts,South Indian,300,Desserts,Sarjapur Road
Corner House - HSR Layout,No,No,4.1/5,1064,BTM,Casual Dining,South Indian,500,Casual Dining,BTM
Meghana Foods - Whitefield,No,No,4.5/5,4281,Hebbal,Beverage Shop,Burgers,250,Beverage Shop,Hebbal
Café Coffee Day - JP Nagar,Yes,No,3.6/5,2508,Marathahalli,Desserts,Gujarati,250,Desserts,Marathahalli
Absolute Barbecues - Sarjapur Road,Yes,No,4.2/5,1718,JP Nagar,Sweet Shop,Burgers,50,Sweet Shop,JP Nagar
Third Wave Coffee - Koramangala,No,No,3.6/5,3332,Yelahanka,Lounge,Cafe Food,400,Lounge,Yelahanka
Burger King - JP Nagar,No,No,4.2/5,2593,Koramangala,Dhaba,Desserts,100,Dhaba,Koramangala
Social - Malleshwaram,No,Yes,2.9/5,1472,MG Road,Bakery,Rajasthani,200,Bakery,MG Road
The Fatty Bao - Malleshwaram,No,No,2.9/5,698,BTM,Delivery,South Indian,150,Delivery,BTM
McDonald's - KR Puram,Yes,No,3.7/5,944,Yelahanka,Desserts,Beverages,250,Desserts,Yelahanka
Keventers - Banashankari,Yes,No,3.4/5,136,Hebbal,Casual Dining,Street Food,600,Casual Dining,Hebbal
Starbucks - Shivajinagar,No,No,3.4/5,1225,Hebbal,Beverage Shop,Rajasthani,100,Beverage Shop,Hebbal
Pizza Hut - Rajajinagar,Yes,No,3.7/5,4988,Shivajinagar,Bakery,Bengali,100,Bakery,Shivajinagar
Burger King - Malleshwaram,No,No,4.1/5,2702,Banashankari,Lounge,Pizza,1050,Lounge,Banashankari
Barbeque Nation - Bellandur,No,No,3.5/5,4716,Malleshwaram,Pub,Fast Food,700,Pub,Malleshwaram
Starbucks - MG Road,No,No,3.3/5,2204,Basavanagudi,Café,Mughlai,250,Café,Basavanagudi
Corner House - MG Road,Yes,Yes,3.7/5,3326,Koramangala,Pub,Pizza,950,Pub,Koramangala
McDonald's - Bellandur,Yes,No,3.5/5,2228,BTM,Pub,Chinese,900,Pub,BTM
Natural Ice Cream - JP Nagar,Yes,Yes,3.4/5,2456,Whitefield,Food Court,Andhra,250,Food Court,Whitefield
Kanti Sweets - Malleshwaram,Yes,Yes,3.0/5,4948,Marathahalli,Pub,Burgers,800,Pub,Marathahalli
The Only Place - Electronic City,Yes,No,3.9/5,3802,MG Road,Sweet Shop,Rolls,300,Sweet Shop,MG Road
Corner House - MG Road,Yes,Yes,3.6/5,3099,KR Puram,Casual Dining,Rolls,500,Casual Dining,KR Puram
Chutney's - Banashankari,Yes,No,4.3/5,3734,Marathahalli,Sweet Shop,Gujarati,300,Sweet Shop,Marathahalli
KFC - Indiranagar,Yes,No,3.1/5,4966,Banashankari,Mess,Chinese,50,Mess,Banashankari
The Fatty Bao - HSR Layout,Yes,No,3.6/5,4707,Yelahanka,Desserts,Rajasthani,200,Desserts,Yelahanka
Vidyarthi Bhavan - Hebbal,Yes,No,4.8/5,1538,MG Road,Desserts,Pizza,350,Desserts,MG Road
Smoke House Deli - Jayanagar,Yes,No,3.4/5,1568,MG Road,Fine Dining,Gujarati,700,Fine Dining,MG Road
The Only Place - Rajajinagar,No,No,3.6/5,3270,Marathahalli,Food Court,Mughlai,250,Food Court,Marathahalli
Shivaji Military Hotel - Banashankari,Yes,Yes,3.2/5,4164,Sarjapur Road,Bar,Rajasthani,600,Bar,Sarjapur Road
KFC - Malleshwaram,Yes,No,3.2/5,601,Hebbal,Pub,Biryani,350,Pub,Hebbal
Shivaji Military Hotel - Koramangala,Yes,No,NEW,0,Malleshwaram,Fine Dining,Fast Food,900,Fine Dining,Malleshwaram
Hotel Suprabhatha - Rajajinagar,No,No,3.8/5,4974,Basavanagudi,Desserts,North Indian,50,Desserts,Basavanagudi
Rajadhani - Basavanagudi,Yes,No,3.9/5,3906,Hebbal,Dhaba,Italian,300,Dhaba,Hebbal
Empire Restaurant - Basavanagudi,Yes,No,3.0/5,545,Jayanagar,Sweet Shop,Rolls,50,Sweet Shop,Jayanagar
Rajadhani - Bellandur,Yes,No,4.0/5,183,HSR Layout,Mess,North Indian,150,Mess,HSR Layout
Meghana Foods - Yelahanka,Yes,No,4.4/5,837,Yelahanka,Café,Bengali,250,Café,Yelahanka
Vasudev Adiga's - Hebbal,Yes,Yes,4.4/5,1892,Shivajinagar,Food Court,Chinese,200,Food Court,Shivajinagar
Shivaji Military Hotel - KR Puram,Yes,No,4.2/5,1388,Electronic City,Quick Bites,Pizza,200,Quick Bites,Electronic City
KFC - Shivajinagar,Yes,No,3.3/5,1941,Marathahalli,Café,Pizza,350,Café,Marathahalli
Vidyarthi Bhavan - Bellandur,No,No,3.9/5,1457,JP Nagar,Casual Dining,Street Food,400,Casual Dining,JP Nagar
Vidyarthi Bhavan - MG Road,No,Yes,NEW,0,HSR Layout,Mess,South Indian,100,Mess,HSR Layout
Café Coffee Day - Bellandur,Yes,No,3.0/5,2800,KR Puram,Food Court,South Indian,350,Food Court,KR Puram
Empire Restaurant - Hebbal,Yes,No,3.3/5,3303,Basavanagudi,Mess,Andhra,50,Mess,Basavanagudi
Chutney's - Hebbal,No,Yes,4.1/5,2770,MG Road,Food Court,Biryani,300,Food Court,MG Road
Barbeque Nation - Malleshwaram,Yes,No,4.3/5,1453,Hebbal,Sweet Shop,Biryani,100,Sweet Shop,Hebbal
The Fatty Bao - Shivajinagar,Yes,No,3.1/5,3635,JP Nagar,Beverage Shop,Kerala,50,Beverage Shop,JP Nagar
KFC - BTM,Yes,No,4.2/5,3286,Jayanagar,Delivery,Rolls,150,Delivery,Jayanagar
New Krishna Bhavan - Basavanagudi,Yes,No,3.9/5,1172,KR Puram,Quick Bites,Beverages,50,Quick Bites,KR Puram
Subway - BTM,No,No,4.1/5,1711,Basavanagudi,Bar,Beverages,600,Bar,Basavanagudi
Toit - Rajajinagar,No,Yes,3.4/5,780,Whitefield,Delivery,Cafe Food,50,Delivery,Whitefield
The Fatty Bao - Malleshwaram,No,No,4.0/5,1028,Banashankari,Pub,Pizza,750,Pub,Banashankari
Absolute Barbecues - Koramangala,Yes,Yes,4.3/5,4723,Hebbal,Bakery,Beverages,350,Bakery,Hebbal
Cream Stone - Hebbal,Yes,No,NEW,0,Marathahalli,Fine Dining,South Indian,1250,Fine Dining,Marathahalli
Punjabi Dhaba - Jayanagar,Yes,Yes,3.9/5,4149,MG Road,Sweet Shop,Italian,100,Sweet Shop,MG Road
Third Wave Coffee - Banashankari,Yes,No,3.5/5,4383,Indiranagar,Food Court,Desserts,200,Food Court,Indiranagar
Chutney's - Hebbal,Yes,No,4.7/5,3669,Banashankari,Mess,Rajasthani,150,Mess,Banashankari
Kanti Sweets - Rajajinagar,No,No,3.6/5,1068,Marathahalli,Dhaba,Andhra,200,Dhaba,Marathahalli
Cream Stone - Indiranagar,No,Yes,3.2/5,283,KR Puram,Quick Bites,Italian,200,Quick Bites,KR Puram
Blue Tokai - BTM,Yes,No,3.5/5,832,Banashankari,Mess,Bengali,50,Mess,Banashankari
KFC - Koramangala,No,Yes,3.8/5,4677,Bellandur,Delivery,Andhra,250,Delivery,Bellandur
Brahmin's Coffee Bar - JP Nagar,No,Yes,4.1/5,3488,Marathahalli,Fine Dining,Andhra,1050,Fine Dining,Marathahalli
The Only Place - Koramangala,Yes,No,3.2/5,4367,Banashankari,Food Court,Beverages,200,Food Court,Banashankari
Empire Restaurant - JP Nagar,Yes,No,4.8/5,3212,Hebbal,Beverage Shop,Pizza,200,Beverage Shop,Hebbal
Dindigul Thalappakatti - BTM,Yes,No,4.0/5,916,Marathahalli,Pub,Andhra,700,Pub,Marathahalli
Baskin-Robbins - HSR Layout,Yes,No,4.1/5,570,Basavanagudi,Casual Dining,Biryani,300,Casual Dining,Basavanagudi
Corner House - HSR Layout,Yes,No,3.8/5,2799,Marathahalli,Mess,South Indian,100,Mess,Marathahalli
Blue Tokai - Whitefield,No,No,3.7/5,2094,Hebbal,Café,Mughlai,200,Café,Hebbal
Subway - Jayanagar,Yes,No,3.8/5,3238,Basavanagudi,Casual Dining,Burgers,550,Casual Dining,Basavanagudi
Third Wave Coffee - MG Road,Yes,Yes,4.4/5,4567,JP Nagar,Delivery,Biryani,150,Delivery,JP Nagar
Nandhini Hotel - Marathahalli,Yes,No,3.8/5,4906,JP Nagar,Lounge,Pizza,600,Lounge,JP Nagar
Keventers - Shivajinagar,Yes,No,4.2/5,620,Banashankari,Mess,Kerala,150,Mess,Banashankari
Social - Marathahalli,No,No,3.5/5,4772,Sarjapur Road,Beverage Shop,North Indian,100,Beverage Shop,Sarjapur Road
Vasudev Adiga's - Whitefield,No,Yes,NEW,0,Shivajinagar,Dhaba,Chinese,100,Dhaba,Shivajinagar
Wow Momo - BTM,Yes,No,3.4/5,4793,Yelahanka,Sweet Shop,Pizza,200,Sweet Shop,Yelahanka
Vasudev Adiga's - Basavanagudi,Yes,No,4.5/5,3347,Whitefield,Dhaba,Street Food,350,Dhaba,Whitefield
Rajadhani - Hebbal,Yes,Yes,3.4/5,1614,JP Nagar,Fine Dining,Gujarati,1150,Fine Dining,JP Nagar
Dindigul Thalappakatti - Indiranagar,Yes,No,3.7/5,64,Sarjapur Road,Desserts,Andhra,250,Desserts,Sarjapur Road
Wow Momo - JP Nagar,Yes,No,3.7/5,3698,Whitefield,Sweet Shop,South Indian,300,Sweet Shop,Whitefield
Byg Brewski - Electronic City,Yes,No,3.7/5,201,KR Puram,Sweet Shop,Desserts,250,Sweet Shop,KR Puram
Keventers - Whitefield,Yes,Yes,4.2/5,4237,Hebbal,Sweet Shop,Cafe Food,200,Sweet Shop,Hebbal
Subway - Koramangala,Yes,No,3.7/5,3169,Yelahanka,Delivery,Street Food,350,Delivery,Yelahanka
Brahmin's Coffee Bar - KR Puram,Yes,No,4.5/5,2864,Yelahanka,Lounge,Street Food,750,Lounge,Yelahanka
Café Coffee Day - Yelahanka,Yes,No,3.4/5,1157,BTM,Dhaba,Continental,200,Dhaba,BTM
The Only Place - Sarjapur Road,Yes,Yes,3.9/5,2309,Bellandur,Bar,Kerala,650,Bar,Bellandur
Chutney's - BTM,Yes,Yes,3.5/5,101,Sarjapur Road,Beverage Shop,Gujarati,150,Beverage Shop,Sarjapur Road
Shivaji Military Hotel - Bellandur,Yes,No,4.1/5,376,MG Road,Beverage Shop,Italian,150,Beverage Shop,MG Road
Byg Brewski - Rajajinagar,No,Yes,3.7/5,205,Hebbal,Quick Bites,Biryani,250,Quick Bites,Hebbal
Nandhini Hotel - Malleshwaram,No,No,3.6/5,3724,KR Puram,Bakery,Cafe Food,150,Bakery,KR Puram
Smoke House Deli - Rajajinagar,Yes,No,4.4/5,4856,Banashankari,Lounge,Bengali,650,Lounge,Banashankari
Absolute Barbecues - Sarjapur Road,Yes,No,3.5/5,2057,BTM,Bakery,Street Food,150,Bakery,BTM
Kanti Sweets - Shivajinagar,Yes,No,4.1/5,3663,Shivajinagar,Food Court,North Indian,350,Food Court,Shivajinagar
KFC - Bellandur,Yes,Yes,3.5/5,1634,Banashankari,Bakery,Gujarati,300,Bakery,Banashankari
Third Wave Coffee - Rajajinagar,Yes,Yes,3.9/5,1060,Bellandur,Bakery,Street Food,350,Bakery,Bellandur
Wow Momo - MG Road,No,Yes,3.1/5,2823,Electronic City,Sweet Shop,North Indian,200,Sweet Shop,Electronic City
Punjabi Dhaba - JP Nagar,Yes,No,NEW,0,MG Road,Fine Dining,Street Food,700,Fine Dining,MG Road
Toit - MG Road,Yes,No,3.8/5,1562,JP Nagar,Pub,Cafe Food,550,Pub,JP Nagar
Starbucks - JP Nagar,Yes,Yes,4.8/5,3195,BTM,Bakery,Beverages,300,Bakery,BTM
Third Wave Coffee - Basavanagudi,Yes,No,3.9/5,4498,Jayanagar,Beverage Shop,Biryani,100,Beverage Shop,Jayanagar
Baskin-Robbins - Hebbal,Yes,No,NEW,0,Electronic City,Beverage Shop,Cafe Food,150,Beverage Shop,Electronic City
Chutney's - BTM,No,No,3.8/5,1058,Shivajinagar,Desserts,Italian,300,Desserts,Shivajinagar
Domino's Pizza - Banashankari,Yes,Yes,3.7/5,1260,Whitefield,Dhaba,Pizza,350,Dhaba,Whitefield
Absolute Barbecues - Bellandur,No,Yes,4.5/5,2546,Sarjapur Road,Pub,Continental,900,Pub,Sarjapur Road
Hotel Suprabhatha - Yelahanka,No,Yes,3.9/5,511,Basavanagudi,Quick Bites,Beverages,150,Quick Bites,Basavanagudi
Cream Stone - Banashankari,Yes,No,3.5/5,1846,Indiranagar,Food Court,Burgers,200,Food Court,Indiranagar
Kanti Sweets - Shivajinagar,Yes,No,4.1/5,4412,Whitefield,Pub,Beverages,800,Pub,Whitefield
Kanti Sweets - KR Puram,Yes,No,3.7/5,4398,Bellandur,Desserts,Andhra,200,Desserts,Bellandur
Meghana Foods - Sarjapur Road,Yes,No,2.9/5,1125,Shivajinagar,Café,Beverages,150,Café,Shivajinagar
Dindigul Thalappakatti - Indiranagar,Yes,No,4.3/5,3660,Bellandur,Beverage Shop,Cafe Food,300,Beverage Shop,Bellandur
Corner House - Rajajinagar,No,No,4.2/5,4177,Marathahalli,Sweet Shop,Bengali,200,Sweet Shop,Marathahalli
Domino's Pizza - KR Puram,Yes,Yes,4.8/5,657,Koramangala,Dhaba,Bengali,300,Dhaba,Koramangala
Corner House - Bellandur,Yes,No,4.1/5,52,Jayanagar,Quick Bites,Andhra,150,Quick Bites,Jayanagar
Domino's Pizza - Malleshwaram,No,No,3.6/5,4440,Sarjapur Road,Lounge,Andhra,700,Lounge,Sarjapur Road
Empire Restaurant - Indiranagar,Yes,No,4.3/5,1108,Banashankari,Bar,Cafe Food,650,Bar,Banashankari
Sri Sairam Vegetarian - JP Nagar,No,No,4.1/5,986,Basavanagudi,Beverage Shop,North Indian,150,Beverage Shop,Basavanagudi
New Krishna Bhavan - JP Nagar,Yes,No,4.7/5,4736,JP Nagar,Bar,Beverages,450,Bar,JP Nagar
Vasudev Adiga's - Basavanagudi,Yes,Yes,3.8/5,210,MG Road,Beverage Shop,North Indian,300,Beverage Shop,MG Road
Nandhini Hotel - Bellandur,No,Yes,3.6/5,4959,Koramangala,Mess,Rajasthani,100,Mess,Koramangala
Burger King - Sarjapur Road,Yes,Yes,3.5/5,775,Indiranagar,Quick Bites,Cafe Food,50,Quick Bites,Indiranagar
Brahmin's Coffee Bar - Rajajinagar,No,No,4.0/5,914,Yelahanka,Dhaba,Street Food,200,Dhaba,Yelahanka
Burger King - Banashankari,No,Yes,2.9/5,4278,Jayanagar,Desserts,Italian,100,Desserts,Jayanagar
Brahmin's Coffee Bar - Malleshwaram,No,No,4.1/5,505,Hebbal,Bakery,Bengali,200,Bakery,Hebbal
Kanti Sweets - Electronic City,Yes,No,4.1/5,3298,Electronic City,Sweet Shop,Beverages,200,Sweet Shop,Electronic City
Cream Stone - JP Nagar,Yes,No,NEW,0,Indiranagar,Café,Beverages,350,Café,Indiranagar
Social - Jayanagar,No,No,3.8/5,4188,Banashankari,Food Court,South Indian,50,Food Court,Banashankari
Punjabi Dhaba - Whitefield,No,No,4.5/5,4425,Electronic City,Beverage Shop,Street Food,250,Beverage Shop,Electronic City
KFC - Marathahalli,No,Yes,4.1/5,2237,Malleshwaram,Pub,Chinese,500,Pub,Malleshwaram
Dindigul Thalappakatti - Jayanagar,Yes,Yes,3.5/5,2913,Whitefield,Food Court,Biryani,300,Food Court,Whitefield
Blue Tokai - MG Road,Yes,No,3.6/5,3001,Banashankari,Bar,Rajasthani,900,Bar,Banashankari
Wow Momo - Sarjapur Road,No,No,3.3/5,260,Banashankari,Quick Bites,Kerala,350,Quick Bites,Banashankari
Keventers - Electronic City,Yes,No,4.1/5,709,Jayanagar,Bar,Kerala,500,Bar,Jayanagar
Byg Brewski - Jayanagar,No,No,3.2/5,1951,Whitefield,Casual Dining,Rajasthani,550,Casual Dining,Whitefield
Sri Sairam Vegetarian - JP Nagar,No,No,4.2/5,2370,Jayanagar,Dhaba,Beverages,200,Dhaba,Jayanagar
Nandhini Hotel - Marathahalli,Yes,No,4.5/5,87,Marathahalli,Quick Bites,Biryani,400,Quick Bites,Marathahalli
Vasudev Adiga's - BTM,No,No,3.3/5,3389,Yelahanka,Bar,Andhra,450,Bar,Yelahanka
KFC - HSR Layout,No,No,3.6/5,3294,Shivajinagar,Bakery,Desserts,400,Bakery,Shivajinagar
Kanti Sweets - Koramangala,Yes,No,3.9/5,2734,Jayanagar,Bar,Biryani,500,Bar,Jayanagar
Truffles - KR Puram,No,No,4.1/5,2256,Rajajinagar,Fine Dining,Mughlai,500,Fine Dining,Rajajinagar
Sri Sairam Vegetarian - HSR Layout,Yes,No,4.7/5,1072,Bellandur,Delivery,Kerala,200,Delivery,Bellandur
Natural Ice Cream - Bellandur,No,Yes,2.9/5,3607,Sarjapur Road,Delivery,South Indian,100,Delivery,Sarjapur Road
Byg Brewski - BTM,Yes,No,3.7/5,3921,Whitefield,Fine Dining,Rajasthani,500,Fine Dining,Whitefield
Subway - Electronic City,No,No,3.6/5,2969,JP Nagar,Pub,Biryani,600,Pub,JP Nagar
Blue Tokai - Bellandur,Yes,No,3.1/5,2310,Rajajinagar,Desserts,Kerala,200,Desserts,Rajajinagar
Starbucks - Banashankari,Yes,No,3.6/5,3277,Malleshwaram,Bakery,Biryani,300,Bakery,Malleshwaram
Absolute Barbecues - Koramangala,No,Yes,3.9/5,3752,Banashankari,Fine Dining,Mughlai,1050,Fine Dining,Banashankari
Cream Stone - Bellandur,Yes,No,3.7/5,3568,Koramangala,Sweet Shop,Chinese,200,Sweet Shop,Koramangala
Social - Indiranagar,Yes,No,3.1/5,3969,BTM,Quick Bites,Mughlai,50,Quick Bites,BTM
New Krishna Bhavan - Bellandur,No,No,5.0/5,2717,Shivajinagar,Casual Dining,Cafe Food,100,Casual Dining,Shivajinagar
The Only Place - Basavanagudi,No,No,3.8/5,1488,MG Road,Bar,Fast Food,500,Bar,MG Road
Natural Ice Cream - Koramangala,Yes,No,3.9/5,1658,HSR Layout,Bakery,Beverages,200,Bakery,HSR Layout
Smoke House Deli - HSR Layout,Yes,No,NEW,0,Whitefield,Café,North Indian,250,Café,Whitefield
Subway - Electronic City,Yes,No,4.0/5,2615,Electronic City,Fine Dining,North Indian,1300,Fine Dining,Electronic City
Toit - JP Nagar,Yes,Yes,3.8/5,3017,Indiranagar,Bar,Italian,500,Bar,Indiranagar
Social - KR Puram,Yes,No,NEW,0,Koramangala,Casual Dining,Burgers,250,Casual Dining,Koramangala
Shivaji Military Hotel - Shivajinagar,No,Yes,3.2/5,2187,Yelahanka,Sweet Shop,Bengali,200,Sweet Shop,Yelahanka
Keventers - Shivajinagar,No,Yes,4.1/5,270,Marathahalli,Delivery,Chinese,200,Delivery,Marathahalli
Vidyarthi Bhavan - Sarjapur Road,No,No,4.7/5,1596,Malleshwaram,Bar,Kerala,700,Bar,Malleshwaram
Rajadhani - Malleshwaram,No,No,3.9/5,3526,Hebbal,Mess,Street Food,100,Mess,Hebbal
Starbucks - Electronic City,Yes,Yes,4.4/5,4379,Shivajinagar,Food Court,South Indian,500,Food Court,Shivajinagar
Wow Momo - Rajajinagar,Yes,No,3.8/5,365,Sarjapur Road,Casual Dining,Italian,350,Casual Dining,Sarjapur Road
Vasudev Adiga's - Basavanagudi,Yes,Yes,3.8/5,2531,Whitefield,Desserts,Mughlai,350,Desserts,Whitefield
Baskin-Robbins - Koramangala,Yes,No,4.4/5,2,Basavanagudi,Beverage Shop,Mughlai,200,Beverage Shop,Basavanagudi
Baskin-Robbins - Whitefield,Yes,No,4.7/5,3051,Sarjapur Road,Sweet Shop,Andhra,250,Sweet Shop,Sarjapur Road
Hotel Suprabhatha - Jayanagar,No,No,4.4/5,783,Bellandur,Food Court,Kerala,100,Food Court,Bellandur
Cream Stone - Indiranagar,Yes,No,3.3/5,2211,KR Puram,Quick Bites,North Indian,50,Quick Bites,KR Puram
Barbeque Nation - JP Nagar,Yes,No,3.8/5,4483,Koramangala,Café,Burgers,150,Café,Koramangala
Absolute Barbecues - KR Puram,Yes,No,4.0/5,1032,Shivajinagar,Bakery,Chinese,250,Bakery,Shivajinagar
The Only Place - Marathahalli,No,No,3.6/5,2059,HSR Layout,Delivery,Mughlai,300,Delivery,HSR Layout
Meghana Foods - Rajajinagar,Yes,No,NEW,0,Bellandur,Mess,Mughlai,100,Mess,Bellandur
Starbucks - Shivajinagar,Yes,No,4.3/5,237,BTM,Quick Bites,Desserts,200,Quick Bites,BTM
Blue Tokai - Electronic City,Yes,No,NEW,0,MG Road,Food Court,Bengali,400,Food Court,MG Road
MTR - JP Nagar,No,No,4.5/5,3179,Yelahanka,Desserts,Gujarati,300,Desserts,Yelahanka
Sri Sairam Vegetarian - Electronic City,Yes,No,3.7/5,1985,HSR Layout,Delivery,Continental,200,Delivery,HSR Layout
Third Wave Coffee - Indiranagar,No,Yes,3.0/5,1462,JP Nagar,Fine Dining,Chinese,950,Fine Dining,JP Nagar
Vidyarthi Bhavan - MG Road,No,No,3.9/5,871,Sarjapur Road,Dhaba,Biryani,250,Dhaba,Sarjapur Road
Natural Ice Cream - Basavanagudi,Yes,No,4.8/5,1221,Sarjapur Road,Bar,Beverages,750,Bar,Sarjapur Road
Dindigul Thalappakatti - Rajajinagar,Yes,No,3.6/5,1666,KR Puram,Beverage Shop,Gujarati,150,Beverage Shop,KR Puram
Social - KR Puram,No,No,4.0/5,3436,Yelahanka,Beverage Shop,Kerala,150,Beverage Shop,Yelahanka
Vidyarthi Bhavan - HSR Layout,Yes,No,4.2/5,1656,Hebbal,Café,Burgers,250,Café,Hebbal
Kanti Sweets - HSR Layout,Yes,Yes,3.9/5,1131,Marathahalli,Mess,Fast Food,100,Mess,Marathahalli
The Only Place - Koramangala,No,No,3.7/5,1971,HSR Layout,Beverage Shop,Pizza,150,Beverage Shop,HSR Layout
Barbeque Nation - Electronic City,No,No,3.2/5,810,Banashankari,Lounge,Cafe Food,500,Lounge,Banashankari
Keventers - Basavanagudi,No,No,NEW,0,KR Puram,Bar,Biryani,650,Bar,KR Puram
Sri Sairam Vegetarian - Malleshwaram,No,No,3.1/5,3523,Rajajinagar,Desserts,Andhra,100,Desserts,Rajajinagar
Social - Malleshwaram,Yes,Yes,3.7/5,2662,Rajajinagar,Desserts,Continental,200,Desserts,Rajajinagar
Vasudev Adiga's - Hebbal,Yes,No,4.4/5,3279,Koramangala,Desserts,Rolls,150,Desserts,Koramangala
Kanti Sweets - Sarjapur Road,No,No,3.6/5,1533,Banashankari,Fine Dining,Continental,650,Fine Dining,Banashankari
KFC - Bellandur,Yes,Yes,3.6/5,4011,Basavanagudi,Pub,Cafe Food,950,Pub,Basavanagudi
Starbucks - Indiranagar,Yes,No,3.4/5,933,Sarjapur Road,Lounge,Chinese,1050,Lounge,Sarjapur Road
Keventers - Koramangala,No,No,4.0/5,662,Rajajinagar,Fine Dining,Mughlai,700,Fine Dining,Rajajinagar
Café Coffee Day - Banashankari,Yes,No,4.5/5,3845,Malleshwaram,Lounge,North Indian,900,Lounge,Malleshwaram
Keventers - MG Road,Yes,Yes,4.4/5,3023,KR Puram,Sweet Shop,Chinese,50,Sweet Shop,KR Puram
